model,location,scale,rel_wis
Imperial-DeCa,NL,natural,1.4880602526442355
Imperial-RtI0,NL,natural,1.755674174445494
Imperial-sbkp,NL,natural,1.2584917963567326
JBUD-HMXK,NL,natural,0.5884582514256275
Karlen-pypm,NL,natural,2.3048340780623042
LANL-GrowthRate,NL,natural,0.9653811702125324
MUNI-ARIMA,NL,natural,1.052704560196284
MUNI-LaggedRegARIMA,NL,natural,0.9753699557287215
MUNI-VAR,NL,natural,1.4308332353752358
RobertWalraven-ESG,NL,natural,0.8432745665580602
SDSC_ISG-TrendModel,NL,natural,0.8312729311562841
UMass-MechBayes,NL,natural,2.4933629150525483
UMass-SemiMech,NL,natural,3.268563731952151
USC-SIkJalpha,NL,natural,1.5178235531498814
bisop-seirfilterlite,NL,natural,2.848567332461291
epiforecasts-EpiExpert,NL,natural,0.9544341326025831
epiforecasts-EpiExpert_Rt,NL,natural,1.8060516804470699
epiforecasts-EpiExpert_direct,NL,natural,1.0561819171969569
epiforecasts-EpiNow2,NL,natural,1.4698339896525727
EuroCOVIDhub-baseline,NO,log,1.0993956824441755
EuroCOVIDhub-ensemble,NO,log,1
IEM_Health-CovidProject,NO,log,1.434488205370708
ILM-EKF,NO,log,1.1645014770270599
Imperial-DeCa,NO,log,0.8614387463806662
Imperial-RtI0,NO,log,5.316967021296074
Imperial-sbkp,NO,log,1.3240937277262617
JBUD-HMXK,NO,log,2.568752539138986
Karlen-pypm,NO,log,1.0465102056764948
LANL-GrowthRate,NO,log,1.4790538959785797
MUNI-ARIMA,NO,log,1.16548514507821
MUNI-LaggedRegARIMA,NO,log,0.5325555093575997
MUNI-VAR,NO,log,1.1500600222236017
RobertWalraven-ESG,NO,log,1.4768816578662505
SDSC_ISG-TrendModel,NO,log,1.5323615209278576
UMass-MechBayes,NO,log,1.2324992338002496
UMass-SemiMech,NO,log,1.1005985322323568
USC-SIkJalpha,NO,log,1.1889500829802802
bisop-seirfilterlite,NO,log,1.0864526047501823
epiforecasts-EpiExpert,NO,log,0.89152900470129115
epiforecasts-EpiNow2,NO,log,1.339227577170243
EuroCOVIDhub-baseline,NO,natural,1.1168797580737195
EuroCOVIDhub-ensemble,NO,natural,1
IEM_Health-CovidProject,NO,natural,1.6034975748565843
ILM-EKF,NO,natural,1.3820649300994632
Imperial-DeCa,NO,natural,0.9132388391657604
Imperial-RtI0,NO,natural,3.381919391598421
Imperial-sbkp,NO,natural,1.2901830809747863
JBUD-HMXK,NO,natural,1.5854887754501683
Karlen-pypm,NO,natural,1.0926419393009486
LANL-GrowthRate,NO,natural,1.4127497598029803
MUNI-ARIMA,NO,natural,1.097556391646625
MUNI-LaggedRegARIMA,NO,natural,0.4616024099474754
MUNI-VAR,NO,natural,1.1694312446961603
RobertWalraven-ESG,NO,natural,1.2273751576397942
SDSC_ISG-TrendModel,NO,natural,1.3660523167366547
UMass-MechBayes,NO,natural,1.2816903242150508
UMass-SemiMech,NO,natural,0.9612881218757767
USC-SIkJalpha,NO,natural,1.1201279121201106
bisop-seirfilterlite,NO,natural,1.1986784418380603
epiforecasts-EpiExpert,NO,natural,0.8860029830626365
epiforecasts-EpiNow2,NO,natural,1.4672993464024497
EuroCOVIDhub-baseline,PL,log,3.298297214144213
EuroCOVIDhub-ensemble,PL,log,1
ICM-agentModel,PL,log,2.195640812658226
IEM_Health-CovidProject,PL,log,2.1259101103690137
ILM-EKF,PL,log,1.2125726127771566
ITWW-county_repro,PL,log,1.5280084787618269
Imperial-DeCa,PL,log,1.440845961949074
Imperial-RtI0,PL,log,2.0670391824267145
Imperial-sbkp,PL,log,1.7465885609160163
JBUD-HMXK,PL,log,3.990312607563361
Karlen-pypm,PL,log,1.3704209592116856
LANL-GrowthRate,PL,log,1.7423979334279664
MIMUW-StochSEIR,PL,log,1.0773637716079398
MIT_CovidAnalytics-DELPHI,PL,log,1.8562400230889915
MOCOS-agent1,PL,log,1.0128702595476222
MUNI-ARIMA,PL,log,2.563747134299895
MUNI-LaggedRegARIMA,PL,log,2.570555161410257
MUNI-VAR,PL,log,1.9901512386504538
RobertWalraven-ESG,PL,log,2.62795313276257
SDSC_ISG-TrendModel,PL,log,1.5271442136591151
UMass-MechBayes,PL,log,1.1306653882606805
UMass-SemiMech,PL,log,1.2338770033780646
USC-SIkJalpha,PL,log,1.4530960458491318
bisop-seirfilterlite,PL,log,3.1385955589367533
epiforecasts-EpiExpert,PL,log,1.441233845765963
epiforecasts-EpiExpert_Rt,PL,log,1.9502324402876312
epiforecasts-EpiExpert_direct,PL,log,1.8168059437994526
epiforecasts-EpiNow2,PL,log,1.5916047012638423
EuroCOVIDhub-baseline,PL,natural,2.367971462749294
EuroCOVIDhub-ensemble,PL,natural,1
ICM-agentModel,PL,natural,1.8738675009425887
IEM_Health-CovidProject,PL,natural,3.1319173356484655
ILM-EKF,PL,natural,1.4632717274584714
ITWW-county_repro,PL,natural,2.0182163174858445
Imperial-DeCa,PL,natural,1.79919170281144
Imperial-RtI0,PL,natural,2.4556927676056137
Imperial-sbkp,PL,natural,2.8432561442355957
JBUD-HMXK,PL,natural,3.0268961449375333
Karlen-pypm,PL,natural,1.8920080682620315
LANL-GrowthRate,PL,natural,1.1596895858762368
MIMUW-StochSEIR,PL,natural,1.3366699909461808
MIT_CovidAnalytics-DELPHI,PL,natural,1.5474725575334147
MOCOS-agent1,PL,natural,0.9840824653596604
MUNI-ARIMA,PL,natural,1.6408037735389123
MUNI-LaggedRegARIMA,PL,natural,2.6089335587766147
MUNI-VAR,PL,natural,1.8468811475778033
RobertWalraven-ESG,PL,natural,2.289744611618236
SDSC_ISG-TrendModel,PL,natural,1.3842442815840101
UMass-MechBayes,PL,natural,1.4097916826219965
UMass-SemiMech,PL,natural,1.7231685463452608
USC-SIkJalpha,PL,natural,1.5515080858066352
bisop-seirfilterlite,PL,natural,2.954344866668809
epiforecasts-EpiExpert,PL,natural,1.580016825582279
epiforecasts-EpiExpert_Rt,PL,natural,1.3651862547284257
epiforecasts-EpiExpert_direct,PL,natural,2.4872073261566134
epiforecasts-EpiNow2,PL,natural,2.0218472590791583
EuroCOVIDhub-baseline,PT,log,1.4983012956540076
EuroCOVIDhub-ensemble,PT,log,1
IEM_Health-CovidProject,PT,log,1.113244941777171
ILM-EKF,PT,log,1.3196162554320374
Imperial-DeCa,PT,log,0.8456547672129642
Imperial-RtI0,PT,log,0.9890520377719565
Imperial-sbkp,PT,log,0.9613913390215161
JBUD-HMXK,PT,log,1.5679677477686549
Karlen-pypm,PT,log,1.1996419655666717
LANL-GrowthRate,PT,log,1.6462108197448746
MUNI-ARIMA,PT,log,1.9670375709380912
MUNI-LaggedRegARIMA,PT,log,1.3712332195604415
MUNI-VAR,PT,log,1.2647218185839955
RobertWalraven-ESG,PT,log,1.3995507915518597
SDSC_ISG-TrendModel,PT,log,1.0352216142931154
UMass-MechBayes,PT,log,1.204661130999405
UMass-SemiMech,PT,log,1.2350570148891828
USC-SIkJalpha,PT,log,1.255508694512323
bisop-seirfilterlite,PT,log,2.566292959258977
epiforecasts-EpiExpert,PT,log,1.082106003012527
epiforecasts-EpiExpert_Rt,PT,log,1.459353843609786
epiforecasts-EpiExpert_direct,PT,log,0.6856619034501572
epiforecasts-EpiNow2,PT,log,1.2882008739218591
prolix-euclidean,PT,log,4.818937879722814
EuroCOVIDhub-baseline,PT,natural,1.3583800523061125
EuroCOVIDhub-ensemble,PT,natural,1
IEM_Health-CovidProject,PT,natural,1.2198572963875327
ILM-EKF,PT,natural,29.6995529225374
Imperial-DeCa,PT,natural,1.277081900376784
Imperial-RtI0,PT,natural,1.6452819628348834
Imperial-sbkp,PT,natural,1.4141139566607028
JBUD-HMXK,PT,natural,1.5493099455945534
Karlen-pypm,PT,natural,2.0445606493644553
LANL-GrowthRate,PT,natural,2.170410439691848
MUNI-ARIMA,PT,natural,1.8901048038639086
MUNI-LaggedRegARIMA,PT,natural,1.6611958412497767
MUNI-VAR,PT,natural,1.8040694033281306
RobertWalraven-ESG,PT,natural,1.0696774210904594
SDSC_ISG-TrendModel,PT,natural,0.6949826519191163
UMass-MechBayes,PT,natural,1.768015570475559
UMass-SemiMech,PT,natural,1.9907150274161989
USC-SIkJalpha,PT,natural,1.509620987918718
bisop-seirfilterlite,PT,natural,5.718838751932231
epiforecasts-EpiExpert,PT,natural,1.6425853215730948
epiforecasts-EpiExpert_Rt,PT,natural,2.2888818391821473
epiforecasts-EpiExpert_direct,PT,natural,0.9312018107169088
epiforecasts-EpiNow2,PT,natural,2.3005213248972947
prolix-euclidean,PT,natural,6.635197300395828
EuroCOVIDhub-baseline,RO,log,1.9942111822706947
EuroCOVIDhub-ensemble,RO,log,1
IEM_Health-CovidProject,RO,log,1.4170370693622445
ILM-EKF,RO,log,1.1075092821790038
Imperial-DeCa,RO,log,2.0392281429069192
Imperial-RtI0,RO,log,2.0224747589041376
Imperial-sbkp,RO,log,2.175780396327031
JBUD-HMXK,RO,log,2.212208438896091
Karlen-pypm,RO,log,3.462496795034397
LANL-GrowthRate,RO,log,1.3863797022453428
MUNI-ARIMA,RO,log,1.482976694213494
MUNI-LaggedRegARIMA,RO,log,0.6948548899760736
MUNI-VAR,RO,log,1.05912699795521
RobertWalraven-ESG,RO,log,1.8441264476228714
SDSC_ISG-TrendModel,RO,log,1.6494372510469821
UMass-MechBayes,RO,log,1.3929165281592122
UMass-SemiMech,RO,log,1.0294696709350846
USC-SIkJalpha,RO,log,1.2517583386381326
bisop-seirfilterlite,RO,log,3.6648318808479057
epiforecasts-EpiExpert,RO,log,2.7195927497037515
epiforecasts-EpiNow2,RO,log,1.3806705574154174
EuroCOVIDhub-baseline,RO,natural,2.113397882335258
EuroCOVIDhub-ensemble,RO,natural,1
IEM_Health-CovidProject,RO,natural,1.8154211244782954
ILM-EKF,RO,natural,1.3525868215020236
Imperial-DeCa,RO,natural,1.5968373618840455
Imperial-RtI0,RO,natural,1.6384832786381662
Imperial-sbkp,RO,natural,1.7813016876537981
JBUD-HMXK,RO,natural,1.6413541145657262
Karlen-pypm,RO,natural,1.7167941897947447
LANL-GrowthRate,RO,natural,1.1934150825706529
MUNI-ARIMA,RO,natural,1.426462121439731
MUNI-LaggedRegARIMA,RO,natural,0.5957329355843508
MUNI-VAR,RO,natural,0.8964653383991028
RobertWalraven-ESG,RO,natural,1.6753194697797513
SDSC_ISG-TrendModel,RO,natural,1.3011193974443256
UMass-MechBayes,RO,natural,1.4168032769359618
UMass-SemiMech,RO,natural,1.1266347510404855
USC-SIkJalpha,RO,natural,1.452654949242282
bisop-seirfilterlite,RO,natural,2.869073324367429
epiforecasts-EpiExpert,RO,natural,2.4255865189801225
epiforecasts-EpiNow2,RO,natural,1.662425322348014
EuroCOVIDhub-baseline,SE,log,1.5493299948736676
EuroCOVIDhub-ensemble,SE,log,1
IEM_Health-CovidProject,SE,log,1.4689936276761737
ILM-EKF,SE,log,1.0392048202256041
Imperial-DeCa,SE,log,3.946061241320228
Imperial-RtI0,SE,log,5.193542561744959
Imperial-sbkp,SE,log,5.485052148463863
JBUD-HMXK,SE,log,2.659029790463019
Karlen-pypm,SE,log,1.59433054143722
LANL-GrowthRate,SE,log,1.2663743533416878
MUNI-ARIMA,SE,log,1.374672807301319
MUNI-LaggedRegARIMA,SE,log,1.618619782389572
MUNI-VAR,SE,log,0.6924385993681
RobertWalraven-ESG,SE,log,1.1352801923501659
SDSC_ISG-TrendModel,SE,log,1.9515269415912362
UMass-MechBayes,SE,log,1.5337451153940969
UMass-SemiMech,SE,log,1.4677548129050926
USC-SIkJalpha,SE,log,1.1320693683417713
bisop-seirfilterlite,SE,log,1.7742037059551663
epiforecasts-EpiExpert,SE,log,1.2030479293473513
epiforecasts-EpiExpert_Rt,SE,log,0.7798320175966738
epiforecasts-EpiExpert_direct,SE,log,1.4196807036916523
epiforecasts-EpiNow2,SE,log,1.2690577482758867
EuroCOVIDhub-baseline,SE,natural,1.3402260170759825
EuroCOVIDhub-ensemble,SE,natural,1
IEM_Health-CovidProject,SE,natural,1.8746857416765716
ILM-EKF,SE,natural,1.4812585155936286
Imperial-DeCa,SE,natural,3.030852814133242
Imperial-RtI0,SE,natural,3.420035456489541
Imperial-sbkp,SE,natural,3.502420271582034
JBUD-HMXK,SE,natural,1.7880981167605121
Karlen-pypm,SE,natural,1.7149142191007243
LANL-GrowthRate,SE,natural,1.0963604492213432
MUNI-ARIMA,SE,natural,1.2741810429593965
MUNI-LaggedRegARIMA,SE,natural,1.5521785872701994
MUNI-VAR,SE,natural,0.7101807770904265
RobertWalraven-ESG,SE,natural,0.8972002351764324
SDSC_ISG-TrendModel,SE,natural,1.6370552371067588
UMass-MechBayes,SE,natural,2.4201848122079164
UMass-SemiMech,SE,natural,2.2028767926417356
USC-SIkJalpha,SE,natural,1.092276626744739
bisop-seirfilterlite,SE,natural,1.2161649179726035
epiforecasts-EpiExpert,SE,natural,0.8091773626945242
epiforecasts-EpiExpert_Rt,SE,natural,0.855222573965295
epiforecasts-EpiExpert_direct,SE,natural,1.001530653350642
epiforecasts-EpiNow2,SE,natural,1.9024839912015203
EuroCOVIDhub-baseline,SI,log,1.5274622077751405
EuroCOVIDhub-ensemble,SI,log,1
IEM_Health-CovidProject,SI,log,1.373946583217014
ILM-EKF,SI,log,1.3421855932505464
Imperial-DeCa,SI,log,2.9913678551898966
Imperial-RtI0,SI,log,7.718753145842546
Imperial-sbkp,SI,log,6.9474249292724135
JBUD-HMXK,SI,log,2.408645594949403
Karlen-pypm,SI,log,0.9955569751100668
LANL-GrowthRate,SI,log,2.068438616454038
MUNI-ARIMA,SI,log,1.778894861704236
MUNI-LaggedRegARIMA,SI,log,1.1154508441267035
MUNI-VAR,SI,log,0.6701756225442363
RobertWalraven-ESG,SI,log,1.399526370500467
SDSC_ISG-TrendModel,SI,log,2.280622356016561
ULZF-SEIRC19SI,SI,log,1.2335794017171806
UMass-MechBayes,SI,log,0.9539285325979888
UMass-SemiMech,SI,log,0.9913470537401645
USC-SIkJalpha,SI,log,1.126388503998111
bisop-seirfilterlite,SI,log,1.9221168399248847
epiforecasts-EpiExpert,SI,log,2.1069747547765703
epiforecasts-EpiNow2,SI,log,1.2385661309188547
prolix-euclidean,SI,log,3.8922914092996597
EuroCOVIDhub-baseline,SI,natural,1.4107878889539707
EuroCOVIDhub-ensemble,SI,natural,1
IEM_Health-CovidProject,SI,natural,1.5828435895670154
ILM-EKF,SI,natural,2.1819476419766444
Imperial-DeCa,SI,natural,2.0854925376791504
Imperial-RtI0,SI,natural,4.477949243962193
Imperial-sbkp,SI,natural,4.333481649657449
JBUD-HMXK,SI,natural,2.743366960210554
Karlen-pypm,SI,natural,1.075885361763585
LANL-GrowthRate,SI,natural,1.8877190116383473
MUNI-ARIMA,SI,natural,2.2082747666355718
MUNI-LaggedRegARIMA,SI,natural,1.022009553879928
MUNI-VAR,SI,natural,0.7765096241203299
RobertWalraven-ESG,SI,natural,1.2233071023592539
SDSC_ISG-TrendModel,SI,natural,2.2280610974389536
ULZF-SEIRC19SI,SI,natural,1.1670980612499757
UMass-MechBayes,SI,natural,0.9790204182273652
UMass-SemiMech,SI,natural,1.1108882221815501
USC-SIkJalpha,SI,natural,1.1965284115608614
bisop-seirfilterlite,SI,natural,1.846913207284449
epiforecasts-EpiExpert,SI,natural,1.911691959172584
epiforecasts-EpiNow2,SI,natural,1.7043156879219659
prolix-euclidean,SI,natural,2.8097234046141075
EuroCOVIDhub-baseline,SK,log,1.3913724994602867
EuroCOVIDhub-ensemble,SK,log,1
IEM_Health-CovidProject,SK,log,1.5357863841590087
ILM-EKF,SK,log,0.980349495703951
Imperial-DeCa,SK,log,1.1714287073046348
Imperial-RtI0,SK,log,2.2428779438723145
Imperial-sbkp,SK,log,2.222855390882128
JBUD-HMXK,SK,log,2.4696917773150147
Karlen-pypm,SK,log,1.0722136310482229
LANL-GrowthRate,SK,log,1.577639180138458
MUNI-ARIMA,SK,log,1.2293430529072071
MUNI-LaggedRegARIMA,SK,log,0.8023998423652561
MUNI-VAR,SK,log,1.290106207581668
RobertWalraven-ESG,SK,log,1.1802049913729085
SDSC_ISG-TrendModel,SK,log,1.4016049596429796
UMass-MechBayes,SK,log,0.9423361218248236
UMass-SemiMech,SK,log,1.0401784301748225
USC-SIkJalpha,SK,log,1.0849661442097134
bisop-seirfilterlite,SK,log,4.054382205758649
epiforecasts-EpiExpert,SK,log,1.2172391307251436
epiforecasts-EpiExpert_Rt,SK,log,0.9068411068515861
epiforecasts-EpiExpert_direct,SK,log,0.9521874940975619
epiforecasts-EpiNow2,SK,log,0.9943505689560272
EuroCOVIDhub-baseline,SK,natural,1.5352780055211568
EuroCOVIDhub-ensemble,SK,natural,1
IEM_Health-CovidProject,SK,natural,2.072510568853273
ILM-EKF,SK,natural,1.2094843262083466
Imperial-DeCa,SK,natural,1.0697549153640067
Imperial-RtI0,SK,natural,2.311140107818418
Imperial-sbkp,SK,natural,2.2549225818915457
JBUD-HMXK,SK,natural,1.563834670582596
Karlen-pypm,SK,natural,0.9420041449835613
LANL-GrowthRate,SK,natural,1.418845388262963
MUNI-ARIMA,SK,natural,1.2367828258862557
MUNI-LaggedRegARIMA,SK,natural,0.6987001882644784
MUNI-VAR,SK,natural,1.0817731986191257
RobertWalraven-ESG,SK,natural,1.1994663553511198
SDSC_ISG-TrendModel,SK,natural,1.3276306276745629
UMass-MechBayes,SK,natural,0.9264365990712087
UMass-SemiMech,SK,natural,1.058732211370903
USC-SIkJalpha,SK,natural,1.2165701284759824
bisop-seirfilterlite,SK,natural,2.390714288446156
epiforecasts-EpiExpert,SK,natural,1.3071085713558355
epiforecasts-EpiExpert_Rt,SK,natural,0.732197164270017
epiforecasts-EpiExpert_direct,SK,natural,0.9905465787278536
epiforecasts-EpiNow2,SK,natural,1.1971032124550054
