model,variant,horizon,rel_wis
MUNI-VAR,omicron intro,3,1.6308761304472554
MUNI_DMS-SEIAR,omicron intro,3,1.1551166960963244
RobertWalraven-ESG,omicron intro,3,1.8501852137165455
ULZF-SEIRC19SI,omicron intro,3,0.7793501604055663
UMass-MechBayes,omicron intro,3,0.945392658321639
UMass-SemiMech,omicron intro,3,0.6968144038928655
UNED-PreCoV2,omicron intro,3,1.0919478270666252
USC-SIkJalpha,omicron intro,3,1.8413678549763641
epiforecasts-EpiNow2,omicron intro,3,1.2209361128143172
itwm-dSEIR,omicron intro,3,0.584155470781606
EuroCOVIDhub-baseline,omicron intro,2,2.0623815065234954
EuroCOVIDhub-ensemble,omicron intro,2,1
FIAS_FZJ-Epi1Ger,omicron intro,2,0.20100662041389575
HZI-AgeExtendedSEIR,omicron intro,2,1.3011978226088161
ICM-agentModel,omicron intro,2,1.5668520217403208
IEM_Health-CovidProject,omicron intro,2,1.8568573509022184
ILM-EKF,omicron intro,2,1.142012174063086
ITWW-county_repro,omicron intro,2,0.8903249496023328
Karlen-pypm,omicron intro,2,1.1991338847141473
LANL-GrowthRate,omicron intro,2,1.9138607237655194
MIT_CovidAnalytics-DELPHI,omicron intro,2,1.3591741867729266
MOCOS-agent1,omicron intro,2,1.03506168412649
MUNI-ARIMA,omicron intro,2,1.6695926465410873
MUNI-LaggedRegARIMA,omicron intro,2,0.9078751438407023
MUNI-VAR,omicron intro,2,1.4810146812344636
MUNI_DMS-SEIAR,omicron intro,2,3.139470377143008
RobertWalraven-ESG,omicron intro,2,1.8213373532573305
ULZF-SEIRC19SI,omicron intro,2,1.2638498940413543
UMass-MechBayes,omicron intro,2,1.0571056998094615
UMass-SemiMech,omicron intro,2,0.5794482890058705
UNED-PreCoV2,omicron intro,2,1.4868176385618181
USC-SIkJalpha,omicron intro,2,1.5300404547792108
epiMOX-SUIHTER,omicron intro,2,0.8357786428115818
epiforecasts-EpiNow2,omicron intro,2,1.2175013513498951
itwm-dSEIR,omicron intro,2,0.8306305991943599
EuroCOVIDhub-baseline,omicron intro,1,1.7516830265270957
EuroCOVIDhub-ensemble,omicron intro,1,1
FIAS_FZJ-Epi1Ger,omicron intro,1,0.4928864203890017
HZI-AgeExtendedSEIR,omicron intro,1,1.300733142984812
ICM-agentModel,omicron intro,1,0.5394783114109064
IEM_Health-CovidProject,omicron intro,1,1.519386282240862
ILM-EKF,omicron intro,1,1.352009275375301
ITWW-county_repro,omicron intro,1,1.1942045705411943
Imperial-DeCa,omicron intro,1,1.2811181616020728
Imperial-RtI0,omicron intro,1,1.3355008036820943
Imperial-sbkp,omicron intro,1,1.2524950927068819
Karlen-pypm,omicron intro,1,1.2789691150230489
LANL-GrowthRate,omicron intro,1,1.8801452389422226
MIT_CovidAnalytics-DELPHI,omicron intro,1,1.1353712834261915
MOCOS-agent1,omicron intro,1,1.4214303711589067
MUNI-ARIMA,omicron intro,1,1.427165281495738
MUNI-LaggedRegARIMA,omicron intro,1,1.3730695156143036
MUNI-VAR,omicron intro,1,0.8429616862004836
MUNI_DMS-SEIAR,omicron intro,1,5.702951567320928
RobertWalraven-ESG,omicron intro,1,1.7282512496927105
SDSC_ISG-TrendModel,omicron intro,1,1.585656527763152
ULZF-SEIRC19SI,omicron intro,1,1.0503530680308586
UMass-MechBayes,omicron intro,1,1.1958475700331368
UMass-SemiMech,omicron intro,1,0.6052265933409788
USC-SIkJalpha,omicron intro,1,1.350746849006787
UpgUmibUsi-MultiBayes,omicron intro,1,1.2040434047350352
epiMOX-SUIHTER,omicron intro,1,0.8934836560539892
epiforecasts-EpiNow2,omicron intro,1,1.2292012655095867
itwm-dSEIR,omicron intro,1,1.4384464895845992
EuroCOVIDhub-baseline,omicron dominant,4,1.5859652667580693
EuroCOVIDhub-ensemble,omicron dominant,4,1
FIAS_FZJ-Epi1Ger,omicron dominant,4,1.647309201702226
HZI-AgeExtendedSEIR,omicron dominant,4,1.196177400383391
ICM-agentModel,omicron dominant,4,1.402736944145788
IEM_Health-CovidProject,omicron dominant,4,1.4952550825990345
ILM-EKF,omicron dominant,4,1.4239885009383173
ITWW-county_repro,omicron dominant,4,1.5727695371925632
JBUD-HMXK,omicron dominant,4,2.66683738547844
Karlen-pypm,omicron dominant,4,1.609531153959507
MIT_CovidAnalytics-DELPHI,omicron dominant,4,1.5474370177323011
MOCOS-agent1,omicron dominant,4,0.8810188611471677
MUNI-ARIMA,omicron dominant,4,1.504625392209254
MUNI-LaggedRegARIMA,omicron dominant,4,1.5159659349132695
MUNI-VAR,omicron dominant,4,2.443372863029731
MUNI_DMS-SEIAR,omicron dominant,4,2.9280282942780538
RobertWalraven-ESG,omicron dominant,4,1.632450889150251
ULZF-SEIRC19SI,omicron dominant,4,1.1762103763703085
UMass-MechBayes,omicron dominant,4,1.0329996985057726
USC-SIkJalpha,omicron dominant,4,1.3996902038327994
epiforecasts-EpiNow2,omicron dominant,4,1.6375585139174007
itwm-dSEIR,omicron dominant,4,1.723543752807089
prolix-euclidean,omicron dominant,4,3.6289670797627602
EuroCOVIDhub-baseline,omicron dominant,3,1.6718355775396627
EuroCOVIDhub-ensemble,omicron dominant,3,1
FIAS_FZJ-Epi1Ger,omicron dominant,3,1.98136168829326
HZI-AgeExtendedSEIR,omicron dominant,3,0.9782680878261272
ICM-agentModel,omicron dominant,3,1.3113657075383054
IEM_Health-CovidProject,omicron dominant,3,1.4630382829548132
ILM-EKF,omicron dominant,3,1.3639043857769972
ITWW-county_repro,omicron dominant,3,1.8502898805995978
JBUD-HMXK,omicron dominant,3,2.8935451403147625
Karlen-pypm,omicron dominant,3,1.6299549806249791
MIT_CovidAnalytics-DELPHI,omicron dominant,3,1.6054337282364035
MOCOS-agent1,omicron dominant,3,1.055366297209137
MUNI-ARIMA,omicron dominant,3,1.4723133996399649
MUNI-LaggedRegARIMA,omicron dominant,3,1.512313877062692
MUNI-VAR,omicron dominant,3,2.0044837315054203
MUNI_DMS-SEIAR,omicron dominant,3,4.103458704092415
RobertWalraven-ESG,omicron dominant,3,1.5724039999764732
ULZF-SEIRC19SI,omicron dominant,3,1.0914949223506012
UMass-MechBayes,omicron dominant,3,1.020544342523463
UNED-PreCoV2,omicron dominant,3,1.8231699098319918
USC-SIkJalpha,omicron dominant,3,1.3584636945405597
epiforecasts-EpiNow2,omicron dominant,3,1.5956216562629604
itwm-dSEIR,omicron dominant,3,1.2477748164905402
prolix-euclidean,omicron dominant,3,3.517081727983282
EuroCOVIDhub-baseline,omicron dominant,2,1.556192819439951
EuroCOVIDhub-ensemble,omicron dominant,2,1
FIAS_FZJ-Epi1Ger,omicron dominant,2,1.9874623881416162
HZI-AgeExtendedSEIR,omicron dominant,2,1.0914706159126537
ICM-agentModel,omicron dominant,2,1.094799055531854
